"Product Name","Product Code","Buy Rate","Sale Rate","Measurement Units","Description","Current Stock","Minimum Stock","Opening Stock","Opening Stock Rate","Opening Date","Tax Rate","Tax List","Supplier Name","Suggested Reorder QTY : <font color=#2096F3><b>%1$s</b></font> %2$s"
"Facade Lighting","N/A","0.0","2000.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"Lightning work","N/A","0.0","2000.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"EARTHING and Grounding","N/A","0.0","2000.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"Work in Riser","N/A","9000.0","12000.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"SMDB","N/A","0.0","1000.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"SMDB2 /3Elevators","N/A","0.0","2500.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"Garbage chute C. P.","N/A","0.0","500.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"Fire Pump CP","N/A","0.0","500.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"SDP Parking","N/A","0.0","500.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"DB water pump","N/A","0.0","500.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"Photocell Panel","N/A","0.0","500.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"Upper Pent House","N/A","0.0","3200.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"Vip Pent house","N/A","13000.0","17000.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"GF to 18TH Floors","N/A","12000.0","15000.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"Bassment Floor","N/A","0.0","2750.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"Roof H. Lighting","N/A","0.0","500.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"Service Floor","N/A","0.0","2000.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"Multiples switch","N/A","0.0","400.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"Fiber optic cable in the chaft","N/A","0.0","500.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"PEO Switch intercom","N/A","0.0","500.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"FACP","N/A","0.0","1000.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"NVR","N/A","0.0","1000.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"Central intercom system rack","N/A","0.0","2000.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"PEO Switch Camera","N/A","0.0","100.0","N/A","N/A","0.0","0.0","0.0","0.0","03 September 2023","0.0%","N/A"
"Basement +Upper Pent House","N/A","0.0","15000.0","N/A","N/A","0.0","0.0","0.0","0.0","04 September 2023","0.0%","N/A"
"Intirieur Drawing","N/A","750.0","1000.0","N/A","N/A","0.0","0.0","0.0","0.0","14 September 2023","0.0%","N/A"
"3 D Drawing","N/A","1000.0","1250.0","N/A","N/A","0.0","0.0","0.0","0.0","14 September 2023","0.0%","N/A"
"Electrical Drawing","N/A","500.0","1000.0","N/A","N/A","0.0","0.0","0.0","0.0","14 September 2023","0.0%","N/A"
"Mechanical Drawing","N/A","500.0","1000.0","N/A","N/A","0.0","0.0","0.0","0.0","14 September 2023","0.0%","N/A"
"Star mix planetary mixer 10L 
(670×420×620mm)
0.5kw
Electronic radiator","Tools: bar paddle, fine wire whisk, hook, spiral round bar","0.0","2880.0","Pcs ","Made in Italy","0.0","0.0","0.0","0.0","19 October 2023","0.0%","N/A"
"Electronic Repair","Router","10.0","15.0","Pcs","N/A","-2.0","0.0","0.0","0.0","03 November 2023","0.0%","N/A"
"J A 550W","N/A","0.0","100.0","Pcs","N/A","0.0","0.0","0.0","0.0","16 January 2024","0.0%","N/A"
"Inverter VDF 200 kw","N/A","0.0","3500.0","N/A","N/A","0.0","0.0","0.0","0.0","16 January 2024","0.0%","N/A"
"Inverter VDF 150KW","N/A","0.0","2750.0","N/A","N/A","0.0","0.0","0.0","0.0","16 January 2024","0.0%","N/A"
"Com Box","N/A","0.0","3500.0","N/A","N/A","0.0","0.0","0.0","0.0","16 January 2024","0.0%","N/A"
"Earth","N/A","0.0","1100.0","N/A","N/A","0.0","0.0","0.0","0.0","16 January 2024","0.0%","N/A"
"Cabling","N/A","0.0","0.0","N/A","N/A","0.0","0.0","0.0","0.0","16 January 2024","0.0%","N/A"
"Cable 25mm","N/A","4.5","6.0","N/A","N/A","0.0","0.0","0.0","0.0","16 January 2024","0.0%","N/A"
"Cable Traiy","N/A","0.0","7.0","N/A","N/A","0.0","0.0","0.0","0.0","16 January 2024","0.0%","N/A"
"AC Cable 4x150","N/A","0.0","15.0","Mettre","N/A","0.0","0.0","0.0","0.0","16 January 2024","0.0%","N/A"
"Accessories","N/A","0.0","500.0","N/A","N/A","0.0","0.0","0.0","0.0","16 January 2024","0.0%","N/A"
"Box 24 Modules","N/A","12.0","14.0","Pcs ","N/A","0.0","0.0","0.0","0.0","21 March 2024","0.0%","N/A"
